id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,Team,Season,League
2624,Djibril Sow,30,2095,2,2.67853897344321,1,2.0170963145792484,22,21,5,0,M S,Sevilla,2,2.67853897344321,8.381441345438361,4.899879834614694,Sevilla,2024,La Liga
7810,Ruben Vargas,11,693,2,2.7851509768515825,1,1.0344063863158226,17,13,0,0,F M S,Sevilla,2,2.7851509768515825,2.9268061202019453,0.3538123592734337,Sevilla,2024,La Liga
8694,Chidera Ejuke,25,917,2,0.9540498401038349,1,1.5952777117490768,20,21,0,0,F M S,Sevilla,2,0.9540498401038349,3.6467593014240265,1.846392972394824,Sevilla,2024,La Liga
616,Jesús Navas,15,410,1,0.6231549140065908,0,0.48120117746293545,3,10,0,0,D F M S,Sevilla,1,0.6231549140065908,1.966650802642107,1.0561606734991074,Sevilla,2024,La Liga
2266,Saúl Ñíguez,24,1556,1,3.6541598848998547,6,2.1105209328234196,42,22,8,1,M S,Sevilla,1,3.6541598848998547,5.336512237787247,1.7422028593719006,Sevilla,2024,La Liga
7174,Adrià Pedrosa,31,2323,1,0.8653349922969937,1,1.7180400965735316,24,20,7,0,D M S,Sevilla,1,0.8653349922969937,6.368501749821007,4.71879200451076,Sevilla,2024,La Liga
7888,Nemanja Gudelj,31,2495,1,1.5126035250723362,1,0.6460477821528912,23,14,6,0,D M S,Sevilla,0,0.7693259008228779,7.393706795759499,7.003295914269984,Sevilla,2024,La Liga
8165,Lucien Agoume,35,2113,1,0.6494429102167487,3,2.382107900455594,10,26,5,1,M S,Sevilla,1,0.6494429102167487,8.198752930387855,6.973515490069985,Sevilla,2024,La Liga
8665,Loic Bade,32,2682,1,0.822739202529192,1,0.36382800713181496,13,4,7,1,D S,Sevilla,1,0.822739202529192,6.654904995113611,6.318080799654126,Sevilla,2024,La Liga
11266,Manu Bueno,9,111,1,0.11979928240180016,0,0,4,0,0,0,M S,Sevilla,1,0.11979928240180016,0.14344529435038567,0.06387227401137352,Sevilla,2024,La Liga
12426,Stanis Idumbo Muzambo,14,255,1,0.3827561968937516,1,0.6035402454435825,4,6,0,0,M S,Sevilla,1,0.3827561968937516,1.4288319367915392,0.49938049353659153,Sevilla,2024,La Liga
12742,Peque,26,1144,1,1.9474023068323731,1,1.3418455142527819,19,12,1,0,F M S,Sevilla,1,1.9474023068323731,5.483433924615383,2.278570069000125,Sevilla,2024,La Liga
13198,Ramón Martínez,5,252,1,0.5181827507913113,0,0.06748511642217636,4,1,0,0,D S,Sevilla,1,0.5181827507913113,0.4108735918998718,0.31278005614876747,Sevilla,2024,La Liga
13294,García Pascual,7,372,1,0.9836342222988605,0,0.028737172484397888,11,2,0,0,F S,Sevilla,1,0.9836342222988605,2.0151879340410233,1.1216245852410793,Sevilla,2024,La Liga
